CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,<init>,35,KILLED,com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest.invalidURLTest(com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest)
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,createRequest,101,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,getEndpoint,67,KILLED,com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest.BuildersAndGettersTest(com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest)
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,isSendToEndpointOnly,52,KILLED,com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest.BuildersAndGettersTest(com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest)
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,isSendToEndpointOnly,52,KILLED,com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest.BuildersAndGettersTest(com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest)
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,lambda$sendEvent$0,72,SURVIVED,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,lambda$sendEvent$0,72,KILLED,com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest.filterAllEvents(com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest)
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,sendEvent,71,KILLED,com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest.filterAllEvents(com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest)
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,sendEvent,74,KILLED,com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest.filterAllEvents(com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest)
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,sendEvent,81,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,sendEvent,71,SURVIVED,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,sendEvent,74,SURVIVED,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,sendEvent,81,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,sendEvent,75,SURVIVED,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,sendEvent,79,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,sendEvent,85,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,sendEvent,89,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,sendEvent,92,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,sendEvent,76,KILLED,com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest.filterAllEvents(com.facebook.ads.sdk.serverside.CAPIGatewayEndpointTest)
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,sendEventAsync,109,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,sendEventAsync,112,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,sendEventAsync,133,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint$1,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,onFailure,116,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint$1,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,onResponse,124,NO_COVERAGE,none
CAPIGatewayEndpoint.java,com.facebook.ads.sdk.serverside.CAPIGatewayEndpoint$1,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,onResponse,124,NO_COVERAGE,none
