project,class,line_no,is_clover_covered,on_slicer4j_slice,on_porbs_slice,statement_ps,covered_ps,required_ps,pseudotested_ps,pit_total,pit_killed,pit_survived,pit_uncovered,statement_type,covered_porbs,covered_slicer4J,covgap_on_porbs_slice,covgap_on_slicer4j_slice
tabulapdf_tabula-java_Line,Line,1,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,2,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,3,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,4,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,5,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,6,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,7,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,8,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,9,False,True,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,10,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,11,False,True,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,12,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,13,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,14,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,15,True,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,16,True,True,True,True,True,True,False,1,1,0,0,RETURN,True,True,False,False
tabulapdf_tabula-java_Line,Line,17,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,18,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,19,True,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,20,True,True,True,True,True,True,False,0,0,0,0,EXPRESSION,True,True,False,False
tabulapdf_tabula-java_Line,Line,21,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,22,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,23,True,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,24,True,False,True,True,True,True,False,3,3,0,0,IF,True,False,False,True
tabulapdf_tabula-java_Line,Line,25,True,False,True,True,True,True,False,0,0,0,0,THROW,True,False,False,True
tabulapdf_tabula-java_Line,Line,26,False,False,True,,False,False,False,0,0,0,0,IF,False,False,False,False
tabulapdf_tabula-java_Line,Line,27,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_Line,Line,28,True,True,True,True,True,True,False,0,0,0,0,VARIABLE_DECLARATION,True,True,False,False
tabulapdf_tabula-java_Line,Line,29,True,True,True,True,True,True,False,4,4,0,0,IF,True,True,False,False
tabulapdf_tabula-java_Line,Line,30,True,True,True,True,True,True,False,3,2,0,0,FOR,True,True,False,False
tabulapdf_tabula-java_Line,Line,31,True,True,True,True,True,True,False,0,0,0,0,EXPRESSION,True,True,False,False
tabulapdf_tabula-java_Line,Line,32,False,False,True,,False,False,False,0,0,0,0,FOR,False,False,False,False
tabulapdf_tabula-java_Line,Line,33,True,True,True,True,True,True,False,0,0,0,0,EXPRESSION,True,True,False,False
tabulapdf_tabula-java_Line,Line,34,False,False,True,,False,False,False,0,0,0,0,IF,False,False,False,False
tabulapdf_tabula-java_Line,Line,35,False,False,True,,False,False,False,0,0,0,0,IF,False,False,False,False
