project,class,line_no,is_clover_covered,on_slicer4j_slice,on_porbs_slice,statement_ps,covered_ps,required_ps,pseudotested_ps,pit_total,pit_killed,pit_survived,pit_uncovered,statement_type,covered_porbs,covered_slicer4J,covgap_on_porbs_slice,covgap_on_slicer4j_slice
tdebatty_java-string-similarity_SorensenDice,SorensenDice,1,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,2,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,3,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,4,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,5,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,6,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,7,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,8,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,9,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,10,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,11,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,12,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,13,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,14,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,15,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,16,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,17,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,18,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,19,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,20,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,21,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,22,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,23,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tdebatty_java-string-similarity_SorensenDice,SorensenDice,24,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
