covered_ps,covgap_slicer4j_slice,covgap_porbs_slice,pseudotested_ps,statement_type,line_no,Original Code,What is the purpose of this code?,Notes
FALSE,FALSE,FALSE,FALSE,,1,package technology.tabula;,,
FALSE,FALSE,FALSE,FALSE,,2,,,
FALSE,FALSE,FALSE,FALSE,,3,import java.awt.geom.Point2D;,,
FALSE,FALSE,FALSE,FALSE,,4,import java.awt.geom.Rectangle2D;,,
FALSE,FALSE,FALSE,FALSE,,5,import java.util.Comparator;,,
FALSE,FALSE,FALSE,FALSE,,6,import java.util.List;,,
FALSE,FALSE,FALSE,FALSE,,7,import java.util.Locale;,,
FALSE,FALSE,FALSE,FALSE,,8,,,
FALSE,FALSE,FALSE,FALSE,,9,"@SuppressWarnings(""serial"")",,
FALSE,FALSE,FALSE,FALSE,,10,public class Rectangle extends Rectangle2D.Float {,,
FALSE,FALSE,FALSE,FALSE,,11,,,
FALSE,FALSE,FALSE,FALSE,,12,/**,,
FALSE,FALSE,FALSE,FALSE,,13,"* Ill-defined comparator, from when Rectangle was Comparable.",,
FALSE,FALSE,FALSE,FALSE,,14,*,,
FALSE,FALSE,FALSE,FALSE,,15,"* @see <a href=""https://github.com/tabulapdf/tabula-java/issues/116"">PR 116</a>",,
FALSE,FALSE,FALSE,FALSE,,16,* @deprecated with no replacement,,
FALSE,FALSE,FALSE,FALSE,,17,*/,,
FALSE,FALSE,FALSE,FALSE,,18,@Deprecated,,
FALSE,FALSE,FALSE,FALSE,,19,public static final Comparator<Rectangle> ILL_DEFINED_ORDER = new Comparator<Rectangle>() {,,
FALSE,FALSE,FALSE,FALSE,,20,"@Override public int compare(Rectangle o1, Rectangle o2) {",,
TRUE,TRUE,TRUE,FALSE,RETURN,21,if (o1.equals(o2)) return 0;,Trivial Output Return,
TRUE,TRUE,FALSE,FALSE,IF,22,if (o1.verticalOverlap(o2) > VERTICAL_COMPARISON_THRESHOLD) {,Special Case Check,
TRUE,TRUE,FALSE,FALSE,RETURN,23,return o1.isLtrDominant() == -1 && o2.isLtrDominant() == -1,Output return,
FALSE,FALSE,FALSE,FALSE,RETURN,24,"? - java.lang.Double.compare(o1.getX(), o2.getX())",,
FALSE,FALSE,FALSE,FALSE,RETURN,25,": java.lang.Double.compare(o1.getX(), o2.getX());",,
FALSE,FALSE,FALSE,FALSE,IF,26,} else {,,
TRUE,TRUE,FALSE,FALSE,RETURN,27,"return java.lang.Float.compare(o1.getBottom(), o2.getBottom());",Output return,
FALSE,FALSE,FALSE,FALSE,IF,28,},,
FALSE,FALSE,FALSE,FALSE,,29,},,
FALSE,FALSE,FALSE,FALSE,,30,};,,
FALSE,FALSE,FALSE,FALSE,,31,,,
FALSE,FALSE,FALSE,FALSE,,32,protected static final float VERTICAL_COMPARISON_THRESHOLD = 0.4f;,,
FALSE,FALSE,FALSE,FALSE,,33,,,
FALSE,FALSE,FALSE,FALSE,,34,public Rectangle() {,,
FALSE,FALSE,FALSE,FALSE,,35,super();,,
FALSE,FALSE,FALSE,FALSE,,36,},,
FALSE,FALSE,FALSE,FALSE,,37,,,
FALSE,FALSE,FALSE,FALSE,,38,"public Rectangle(float top, float left, float width, float height) {",,
FALSE,FALSE,FALSE,FALSE,,39,super();,,
TRUE,FALSE,FALSE,FALSE,EXPRESSION,40,"this.setRect(left, top, width, height);",,
FALSE,FALSE,FALSE,FALSE,,41,},,
FALSE,FALSE,FALSE,FALSE,,42,,,
FALSE,FALSE,FALSE,FALSE,,43,public int compareTo(Rectangle other) {,,
TRUE,FALSE,FALSE,FALSE,RETURN,44,"return ILL_DEFINED_ORDER.compare(this, other);",,
FALSE,FALSE,FALSE,FALSE,,45,},,
FALSE,FALSE,FALSE,FALSE,,46,,,
FALSE,FALSE,FALSE,FALSE,,47,// I'm bad at Java and need this for fancy sorting in,,
FALSE,FALSE,FALSE,FALSE,,48,// technology.tabula.TextChunk.,,
FALSE,FALSE,FALSE,FALSE,,49,public int isLtrDominant() {,,
TRUE,TRUE,FALSE,FALSE,RETURN,50,return 0;,Default Return,
FALSE,FALSE,FALSE,FALSE,,51,},,
FALSE,FALSE,FALSE,FALSE,,52,,,
FALSE,FALSE,FALSE,FALSE,,53,public float getArea() {,,
TRUE,FALSE,FALSE,FALSE,RETURN,54,return this.width * this.height;,,
FALSE,FALSE,FALSE,FALSE,,55,},,
FALSE,FALSE,FALSE,FALSE,,56,,,
FALSE,FALSE,FALSE,FALSE,,57,public float verticalOverlap(Rectangle other) {,,
TRUE,FALSE,FALSE,FALSE,RETURN,58,"return Math.max(0, Math.min(this.getBottom(), other.getBottom()) - Math.max(this.getTop(), other.getTop()));",,
FALSE,FALSE,FALSE,FALSE,,59,},,
FALSE,FALSE,FALSE,FALSE,,60,,,
FALSE,FALSE,FALSE,FALSE,,61,public boolean verticallyOverlaps(Rectangle other) {,,
TRUE,FALSE,FALSE,FALSE,RETURN,62,return verticalOverlap(other) > 0;,,
FALSE,FALSE,FALSE,FALSE,,63,},,
