project,class,line_no,is_clover_covered,on_slicer4j_slice,on_porbs_slice,statement_ps,covered_ps,required_ps,pseudotested_ps,pit_total,pit_killed,pit_survived,pit_uncovered,statement_type,covered_porbs,covered_slicer4J,covgap_on_porbs_slice,covgap_on_slicer4j_slice
BlueObelisk_euclid_Real3Range,Real3Range,1,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,2,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,3,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,4,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,5,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,6,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,7,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,8,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,9,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,10,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,11,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,12,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,13,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,14,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,15,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,16,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,17,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,18,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,19,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,20,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,21,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,22,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,23,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,24,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,25,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
BlueObelisk_euclid_Real3Range,Real3Range,26,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
