MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,asListLines,702,KILLED,org.brunocvcunha.inutils4j.MyStringUtilsTest.testCollections3(org.brunocvcunha.inutils4j.MyStringUtilsTest)
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,asListLinesIgnore,716,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,asListLinesIgnore,716,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,asListLinesIgnore,720,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,blank,1046,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,blank,1046,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,capitalize,1079,SURVIVED,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,capitalize,1083,SURVIVED,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,capitalize,1079,KILLED,org.brunocvcunha.inutils4j.MyStringUtilsTest.testChars(org.brunocvcunha.inutils4j.MyStringUtilsTest)
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,capitalize,1083,KILLED,org.brunocvcunha.inutils4j.MyStringUtilsTest.testChars(org.brunocvcunha.inutils4j.MyStringUtilsTest)
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,capitalize,1080,NO_COVERAGE,none
