project,class,line_no,is_clover_covered,on_slicer4j_slice,on_porbs_slice,statement_ps,covered_ps,required_ps,pseudotested_ps,pit_total,pit_killed,pit_survived,pit_uncovered,statement_type,covered_porbs,covered_slicer4J,covgap_on_porbs_slice,covgap_on_slicer4j_slice
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,1,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,2,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,3,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,4,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,5,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,6,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,7,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,8,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,9,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,10,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,11,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,12,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,13,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,14,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,15,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,16,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,17,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,18,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,19,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,20,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,21,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,22,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,23,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,24,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
decorators-squad_eo-yaml_ReadYamlMapping,ReadYamlMapping,25,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
