project,Tool,time_type,time
tdebatty_java-string-similarity_OptimalStringAlignment,Slicer4J,real,74.595
tdebatty_java-string-similarity_OptimalStringAlignment,Slicer4J,user,221.001
tdebatty_java-string-similarity_OptimalStringAlignment,Slicer4J,sys,16.291
tdebatty_java-string-similarity_OptimalStringAlignment,PseudoSweep,real,9.415
tdebatty_java-string-similarity_OptimalStringAlignment,PseudoSweep,user,27.82
tdebatty_java-string-similarity_OptimalStringAlignment,PseudoSweep,sys,2.066
tdebatty_java-string-similarity_OptimalStringAlignment,PORBS,real,3502.571
tdebatty_java-string-similarity_OptimalStringAlignment,PORBS,user,21917.8
tdebatty_java-string-similarity_OptimalStringAlignment,PORBS,sys,1525.4
bvolpato_inutils4j_MyArrUtils,Slicer4J,real,86.52
bvolpato_inutils4j_MyArrUtils,Slicer4J,user,304.033
bvolpato_inutils4j_MyArrUtils,Slicer4J,sys,19.977
bvolpato_inutils4j_MyArrUtils,PseudoSweep,real,8.114
bvolpato_inutils4j_MyArrUtils,PseudoSweep,user,23.043
bvolpato_inutils4j_MyArrUtils,PseudoSweep,sys,1.791
bvolpato_inutils4j_MyArrUtils,PORBS,real,3812.404
bvolpato_inutils4j_MyArrUtils,PORBS,user,22580.898
bvolpato_inutils4j_MyArrUtils,PORBS,sys,1622.997
tabulapdf_tabula-java_Line,Slicer4J,real,97.444
tabulapdf_tabula-java_Line,Slicer4J,user,286.421
tabulapdf_tabula-java_Line,Slicer4J,sys,19.07
tabulapdf_tabula-java_Line,PseudoSweep,real,42.635
tabulapdf_tabula-java_Line,PseudoSweep,user,95.779
tabulapdf_tabula-java_Line,PseudoSweep,sys,4.701
tabulapdf_tabula-java_Line,PORBS,real,3496.299
tabulapdf_tabula-java_Line,PORBS,user,17312.701
tabulapdf_tabula-java_Line,PORBS,sys,985.546
BlueObelisk_euclid_Transform2,Slicer4J,real,948.667
BlueObelisk_euclid_Transform2,Slicer4J,user,4128.498
BlueObelisk_euclid_Transform2,Slicer4J,sys,193.236
BlueObelisk_euclid_Transform2,PseudoSweep,real,18.574
BlueObelisk_euclid_Transform2,PseudoSweep,user,64.025
BlueObelisk_euclid_Transform2,PseudoSweep,sys,4.602
BlueObelisk_euclid_Transform2,PORBS,real,24814.949
BlueObelisk_euclid_Transform2,PORBS,user,177316.492
BlueObelisk_euclid_Transform2,PORBS,sys,11090.447
bvolpato_inutils4j_MyMapUtils,Slicer4J,real,117.816
bvolpato_inutils4j_MyMapUtils,Slicer4J,user,226.906
bvolpato_inutils4j_MyMapUtils,Slicer4J,sys,13.842
bvolpato_inutils4j_MyMapUtils,PseudoSweep,real,22.22
bvolpato_inutils4j_MyMapUtils,PseudoSweep,user,38.672
bvolpato_inutils4j_MyMapUtils,PseudoSweep,sys,2.719
bvolpato_inutils4j_MyMapUtils,PORBS,real,2259.681
bvolpato_inutils4j_MyMapUtils,PORBS,user,9990.142
bvolpato_inutils4j_MyMapUtils,PORBS,sys,641.131
tabulapdf_tabula-java_Cell,Slicer4J,real,104.72399999999999
tabulapdf_tabula-java_Cell,Slicer4J,user,334.745
