project,class,line_no,is_clover_covered,on_slicer4j_slice,on_porbs_slice,statement_ps,covered_ps,required_ps,pseudotested_ps,pit_total,pit_killed,pit_survived,pit_uncovered,statement_type,covered_porbs,covered_slicer4J,covgap_on_porbs_slice,covgap_on_slicer4j_slice
tabulapdf_tabula-java_TextElement,TextElement,1,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,2,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,3,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,4,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,5,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,6,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,7,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,8,False,False,False,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,9,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,10,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,11,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,12,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,13,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,14,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,15,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,16,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,17,True,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,18,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,19,True,True,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,20,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,21,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,22,True,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,23,False,False,True,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,24,True,True,False,,False,False,False,0,0,0,0,,False,False,False,False
tabulapdf_tabula-java_TextElement,TextElement,25,True,True,True,True,True,True,False,1,1,0,0,EXPRESSION,True,True,False,False
tabulapdf_tabula-java_TextElement,TextElement,26,True,True,True,True,True,True,False,0,0,0,0,EXPRESSION,True,True,False,False
tabulapdf_tabula-java_TextElement,TextElement,27,True,True,True,True,True,True,False,0,0,0,0,EXPRESSION,True,True,False,False
tabulapdf_tabula-java_TextElement,TextElement,28,True,True,True,True,True,True,False,0,0,0,0,EXPRESSION,True,True,False,False
