name,active
BlueObelisk_euclid_Int2Range,true
BlueObelisk_euclid_IntSquareMatrix,true
BlueObelisk_euclid_Line2,true
BlueObelisk_euclid_Real3Range,true
BlueObelisk_euclid_Transform2,true
bvolpato_inutils4j_MyArrUtils,true
bvolpato_inutils4j_MyMapUtils,true
bvolpato_inutils4j_MyNumberUtils,true
bvolpato_inutils4j_MyReflectionUtils,true
bvolpato_inutils4j_MyStringUtils,true
decorators-squad_eo-yaml_JsonYamlDump,true
decorators-squad_eo-yaml_ReadYamlMapping,true
decorators-squad_eo-yaml_ReadYamlStream,true
decorators-squad_eo-yaml_Skip,true
decorators-squad_eo-yaml_WellIndented,true
facebook_facebook-java-business-sdk_BatchProcessor,true
facebook_facebook-java-business-sdk_CAPIGatewayEndpoint,true
facebook_facebook-java-business-sdk_Event,true
facebook_facebook-java-business-sdk_HashedListAdaptor,true
facebook_facebook-java-business-sdk_ServerSideApiUtil,true
tabulapdf_tabula-java_Cell,true
tabulapdf_tabula-java_Line,true
tabulapdf_tabula-java_Rectangle,true
tabulapdf_tabula-java_Table,true
tabulapdf_tabula-java_TextElement,true
tdebatty_java-string-similarity_LongestCommonSubsequence,true
tdebatty_java-string-similarity_NGram,true
tdebatty_java-string-similarity_OptimalStringAlignment,true
tdebatty_java-string-similarity_RatcliffObershelp,true
tdebatty_java-string-similarity_SorensenDice,true
