covered_ps,covgap_slicer4j_slice,covgap_porbs_slice,pseudotested_ps,statement_type,line_no,Original Code,What is the purpose of this code?,Notes
FALSE,FALSE,FALSE,FALSE,,1,package com.facebook.ads.sdk.serverside;,,
FALSE,FALSE,FALSE,FALSE,,2,,,
FALSE,FALSE,FALSE,FALSE,,3,import com.facebook.ads.sdk.APIException;,,
FALSE,FALSE,FALSE,FALSE,,4,,,
FALSE,FALSE,FALSE,FALSE,,5,import com.google.common.util.concurrent.Futures;,,
FALSE,FALSE,FALSE,FALSE,,6,import com.google.common.util.concurrent.ListenableFuture;,,
FALSE,FALSE,FALSE,FALSE,,7,,,
FALSE,FALSE,FALSE,FALSE,,8,import java.util.ArrayList;,,
FALSE,FALSE,FALSE,FALSE,,9,import java.util.Iterator;,,
FALSE,FALSE,FALSE,FALSE,,10,import java.util.List;,,
FALSE,FALSE,FALSE,FALSE,,11,import java.util.concurrent.ExecutionException;,,
FALSE,FALSE,FALSE,FALSE,,12,,,
FALSE,FALSE,FALSE,FALSE,,13,public class BatchProcessor {,,
FALSE,FALSE,FALSE,FALSE,,14,private int batchSize;,,
FALSE,FALSE,FALSE,FALSE,,15,private int concurrentRequests;,,
FALSE,FALSE,FALSE,FALSE,,16,,,
FALSE,FALSE,FALSE,FALSE,,17,"public BatchProcessor(int batchSize, int concurrentRequests) {",,
TRUE,FALSE,FALSE,FALSE,EXPRESSION,18,this.batchSize = batchSize;,,
TRUE,TRUE,FALSE,FALSE,EXPRESSION,19,this.concurrentRequests = concurrentRequests;,State Initialization,
FALSE,FALSE,FALSE,FALSE,,20,},,
FALSE,FALSE,FALSE,FALSE,,21,,,
FALSE,FALSE,FALSE,FALSE,,22,"public void processEventRequests(List<EventRequest> eventRequests) throws ExecutionException, InterruptedException {",,
TRUE,TRUE,FALSE,FALSE,VARIABLE_DECLARATION,23,Iterator<List<ListenableFuture<EventResponse>>> it = processEventRequestsIterator(eventRequests);,Iteration,
TRUE,TRUE,FALSE,FALSE,WHILE,24,while (it.hasNext()) {,Iteration,
TRUE,TRUE,FALSE,FALSE,VARIABLE_DECLARATION,25,List<ListenableFuture<EventResponse>> futures = it.next();,Iteration,
TRUE,TRUE,TRUE,FALSE,EXPRESSION,26,Futures,Scheduling,
FALSE,FALSE,FALSE,FALSE,EXPRESSION,27,.allAsList(futures),,
FALSE,FALSE,FALSE,FALSE,EXPRESSION,28,.get();,,
FALSE,FALSE,FALSE,FALSE,WHILE,29,},,
FALSE,FALSE,FALSE,FALSE,,30,},,
FALSE,FALSE,FALSE,FALSE,,31,,,
FALSE,FALSE,FALSE,FALSE,,32,"public Iterator<List<ListenableFuture<EventResponse>>> processEventsIterator(EventRequest eventRequestToClone, List<Event> events) {",,
TRUE,FALSE,FALSE,FALSE,RETURN,33,"return new EventIterator(eventRequestToClone, events, this.batchSize, this.concurrentRequests);",,
