covered_ps,covgap_slicer4j_slice,covgap_porbs_slice,pseudotested_ps,statement_type,line_no,Original Code,What is the purpose of this code?,Notes
FALSE,FALSE,FALSE,FALSE,,1,/**,,
FALSE,FALSE,FALSE,FALSE,,2,*    Copyright 2011 Peter Murray-Rust,,
FALSE,FALSE,FALSE,FALSE,,3,*,,
FALSE,FALSE,FALSE,FALSE,,4,"*    Licensed under the Apache License, Version 2.0 (the ""License"");",,
FALSE,FALSE,FALSE,FALSE,,5,*    you may not use this file except in compliance with the License.,,
FALSE,FALSE,FALSE,FALSE,,6,*    You may obtain a copy of the License at,,
FALSE,FALSE,FALSE,FALSE,,7,*,,
FALSE,FALSE,FALSE,FALSE,,8,*        http://www.apache.org/licenses/LICENSE-2.0,,
FALSE,FALSE,FALSE,FALSE,,9,*,,
FALSE,FALSE,FALSE,FALSE,,10,"*    Unless required by applicable law or agreed to in writing, software",,
FALSE,FALSE,FALSE,FALSE,,11,"*    distributed under the License is distributed on an ""AS IS"" BASIS,",,
FALSE,FALSE,FALSE,FALSE,,12,"*    WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",,
FALSE,FALSE,FALSE,FALSE,,13,*    See the License for the specific language governing permissions and,,
FALSE,FALSE,FALSE,FALSE,,14,*    limitations under the License.,,
FALSE,FALSE,FALSE,FALSE,,15,*/,,
FALSE,FALSE,FALSE,FALSE,,16,,,
FALSE,FALSE,FALSE,FALSE,,17,package org.xmlcml.euclid;,,
FALSE,FALSE,FALSE,FALSE,,18,,,
FALSE,FALSE,FALSE,FALSE,,19,import org.apache.log4j.Logger;,,
FALSE,FALSE,FALSE,FALSE,,20,,,
FALSE,FALSE,FALSE,FALSE,,21,/**,,
FALSE,FALSE,FALSE,FALSE,,22,* square matrix class,,
FALSE,FALSE,FALSE,FALSE,,23,*,,
FALSE,FALSE,FALSE,FALSE,,24,* IntSquareMatrix represents a square m-x-m matrix. The basic matrix algebra,,
FALSE,FALSE,FALSE,FALSE,,25,* for square matrices is represented here Check out the exciting member,,
FALSE,FALSE,FALSE,FALSE,,26,"* functions, which are supported by Exceptions where appropriate. (NB. No",,
FALSE,FALSE,FALSE,FALSE,,27,"* attempt has been made to provide numerical robustness and inversion,",,
FALSE,FALSE,FALSE,FALSE,,28,"* diagonalisation, etc are as you find them.)",,
FALSE,FALSE,FALSE,FALSE,,29,* <P>,,
FALSE,FALSE,FALSE,FALSE,,30,*,,
FALSE,FALSE,FALSE,FALSE,,31,"* @author (C) P. Murray-Rust, 1996",,
FALSE,FALSE,FALSE,FALSE,,32,*/,,
FALSE,FALSE,FALSE,FALSE,,33,public class IntSquareMatrix extends IntMatrix {,,
FALSE,FALSE,FALSE,FALSE,,34,/**,,
FALSE,FALSE,FALSE,FALSE,,35,* helper class to provide types of matrix.,,
FALSE,FALSE,FALSE,FALSE,,36,*/,,
FALSE,FALSE,FALSE,FALSE,,37,/** type */,,
FALSE,FALSE,FALSE,FALSE,,38,public enum Type {,,
FALSE,FALSE,FALSE,FALSE,,39,/**  */,,
FALSE,FALSE,FALSE,FALSE,,40,"UPPER_TRIANGLE(1),",,
FALSE,FALSE,FALSE,FALSE,,41,/**  */,,
FALSE,FALSE,FALSE,FALSE,,42,"LOWER_TRIANGLE(2),",,
FALSE,FALSE,FALSE,FALSE,,43,/**  */,,
FALSE,FALSE,FALSE,FALSE,,44,"SYMMETRIC(3),",,
FALSE,FALSE,FALSE,FALSE,,45,/**  */,,
FALSE,FALSE,FALSE,FALSE,,46,"DIAGONAL(4),",,
FALSE,FALSE,FALSE,FALSE,,47,/**  */,,
FALSE,FALSE,FALSE,FALSE,,48,"OUTER_PRODUCT(5),",,
FALSE,FALSE,FALSE,FALSE,,49,/**  */,,
FALSE,FALSE,FALSE,FALSE,,50,UNKNOWN(6);,,
FALSE,FALSE,FALSE,FALSE,,51,/** integer value */,,
FALSE,FALSE,FALSE,FALSE,,52,public int i;,,
FALSE,FALSE,FALSE,FALSE,,53,private Type(int i) {,,
FALSE,FALSE,FALSE,FALSE,,54,this.i = i;,,
FALSE,FALSE,FALSE,FALSE,,55,},,
FALSE,FALSE,FALSE,FALSE,,56,},,
FALSE,FALSE,FALSE,FALSE,,57,final static Logger LOG = Logger.getLogger(IntSquareMatrix.class);,,
FALSE,FALSE,FALSE,FALSE,,58,/**,,
FALSE,FALSE,FALSE,FALSE,,59,* Constructor. This gives a default matrix with cols = rows = 0.,,
FALSE,FALSE,FALSE,FALSE,,60,*/,,
FALSE,FALSE,FALSE,FALSE,,61,public IntSquareMatrix() {,,
FALSE,FALSE,FALSE,FALSE,,62,super();,,
FALSE,FALSE,FALSE,FALSE,,63,},,
FALSE,FALSE,FALSE,FALSE,,64,/**,,
FALSE,FALSE,FALSE,FALSE,,65,* Constructor.,,
FALSE,FALSE,FALSE,FALSE,,66,*,,
FALSE,FALSE,FALSE,FALSE,,67,* @param rows,,
FALSE,FALSE,FALSE,FALSE,,68,*            number of rows and columns values are set to zero,,
FALSE,FALSE,FALSE,FALSE,,69,*/,,
FALSE,FALSE,FALSE,FALSE,,70,public IntSquareMatrix(int rows) {,,
FALSE,FALSE,FALSE,FALSE,,71,"super(rows, rows);",,
FALSE,FALSE,FALSE,FALSE,,72,},,
FALSE,FALSE,FALSE,FALSE,,73,/**,,
FALSE,FALSE,FALSE,FALSE,,74,* Creates square matrix from real matrix.,,
FALSE,FALSE,FALSE,FALSE,,75,*,,
FALSE,FALSE,FALSE,FALSE,,76,* @param f,,
FALSE,FALSE,FALSE,FALSE,,77,*            real array (length rows) multiplied to give outer product,,
FALSE,FALSE,FALSE,FALSE,,78,* @return square matrix of size rows * rows,,
FALSE,FALSE,FALSE,FALSE,,79,*/,,
