covered_ps,covgap_slicer4j_slice,covgap_porbs_slice,pseudotested_ps,statement_type,line_no,Original Code,What is the purpose of this code?,Notes
FALSE,FALSE,FALSE,FALSE,,1,/*,,
FALSE,FALSE,FALSE,FALSE,,2,* Copyright © 2014 Bruno Candido Volpato da Cunha (brunocvcunha@gmail.com),,
FALSE,FALSE,FALSE,FALSE,,3,*,,
FALSE,FALSE,FALSE,FALSE,,4,"* Licensed under the Apache License, Version 2.0 (the ""License"");",,
FALSE,FALSE,FALSE,FALSE,,5,* you may not use this file except in compliance with the License.,,
FALSE,FALSE,FALSE,FALSE,,6,* You may obtain a copy of the License at,,
FALSE,FALSE,FALSE,FALSE,,7,*,,
FALSE,FALSE,FALSE,FALSE,,8,*     http://www.apache.org/licenses/LICENSE-2.0,,
FALSE,FALSE,FALSE,FALSE,,9,*,,
FALSE,FALSE,FALSE,FALSE,,10,"* Unless required by applicable law or agreed to in writing, software",,
FALSE,FALSE,FALSE,FALSE,,11,"* distributed under the License is distributed on an ""AS IS"" BASIS,",,
FALSE,FALSE,FALSE,FALSE,,12,"* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",,
FALSE,FALSE,FALSE,FALSE,,13,* See the License for the specific language governing permissions and,,
FALSE,FALSE,FALSE,FALSE,,14,* limitations under the License.,,
FALSE,FALSE,FALSE,FALSE,,15,*/,,
FALSE,FALSE,FALSE,FALSE,,16,package org.brunocvcunha.inutils4j;,,
FALSE,FALSE,FALSE,FALSE,,17,,,
FALSE,FALSE,FALSE,FALSE,,18,import java.awt.HeadlessException;,,
FALSE,FALSE,FALSE,FALSE,,19,import java.awt.Toolkit;,,
FALSE,FALSE,FALSE,FALSE,,20,import java.awt.datatransfer.Clipboard;,,
FALSE,FALSE,FALSE,FALSE,,21,import java.awt.datatransfer.DataFlavor;,,
FALSE,FALSE,FALSE,FALSE,,22,import java.awt.datatransfer.StringSelection;,,
FALSE,FALSE,FALSE,FALSE,,23,import java.awt.datatransfer.UnsupportedFlavorException;,,
FALSE,FALSE,FALSE,FALSE,,24,import java.io.BufferedInputStream;,,
FALSE,FALSE,FALSE,FALSE,,25,import java.io.BufferedReader;,,
FALSE,FALSE,FALSE,FALSE,,26,import java.io.BufferedWriter;,,
FALSE,FALSE,FALSE,FALSE,,27,import java.io.ByteArrayOutputStream;,,
FALSE,FALSE,FALSE,FALSE,,28,import java.io.File;,,
FALSE,FALSE,FALSE,FALSE,,29,import java.io.FileInputStream;,,
FALSE,FALSE,FALSE,FALSE,,30,import java.io.FileNotFoundException;,,
FALSE,FALSE,FALSE,FALSE,,31,import java.io.FileReader;,,
FALSE,FALSE,FALSE,FALSE,,32,import java.io.FileWriter;,,
FALSE,FALSE,FALSE,FALSE,,33,import java.io.IOException;,,
FALSE,FALSE,FALSE,FALSE,,34,import java.io.InputStream;,,
FALSE,FALSE,FALSE,FALSE,,35,import java.io.InputStreamReader;,,
FALSE,FALSE,FALSE,FALSE,,36,import java.io.PrintStream;,,
FALSE,FALSE,FALSE,FALSE,,37,import java.io.UnsupportedEncodingException;,,
