covered_ps,covgap_slicer4j_slice,covgap_porbs_slice,pseudotested_ps,statement_type,line_no,Original Code,What is the purpose of this code?,Notes
FALSE,FALSE,FALSE,FALSE,,1,/**,,
FALSE,FALSE,FALSE,FALSE,,2,"* Copyright (c) 2016-2024, Mihai Emil Andronache",,
FALSE,FALSE,FALSE,FALSE,,3,* All rights reserved.,,
FALSE,FALSE,FALSE,FALSE,,4,*,,
FALSE,FALSE,FALSE,FALSE,,5,"* Redistribution and use in source and binary forms, with or without",,
FALSE,FALSE,FALSE,FALSE,,6,"*  modification, are permitted provided that the following conditions are met:",,
FALSE,FALSE,FALSE,FALSE,,7,"* Redistributions of source code must retain the above copyright notice, this",,
FALSE,FALSE,FALSE,FALSE,,8,*  list of conditions and the following disclaimer.,,
FALSE,FALSE,FALSE,FALSE,,9,"*  Redistributions in binary form must reproduce the above copyright notice,",,
FALSE,FALSE,FALSE,FALSE,,10,*  this list of conditions and the following disclaimer in the documentation,,
FALSE,FALSE,FALSE,FALSE,,11,*  and/or other materials provided with the distribution.,,
FALSE,FALSE,FALSE,FALSE,,12,* Neither the name of the copyright holder nor the names of its,,
FALSE,FALSE,FALSE,FALSE,,13,*  contributors may be used to endorse or promote products derived from,,
FALSE,FALSE,FALSE,FALSE,,14,*  this software without specific prior written permission.,,
FALSE,FALSE,FALSE,FALSE,,15,"* THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS ""AS IS""",,
FALSE,FALSE,FALSE,FALSE,,16,"* AND ANY EXPRESS OR IMPLIED WARRANTIES, INCLUDING, BUT NOT LIMITED TO, THE",,
FALSE,FALSE,FALSE,FALSE,,17,* IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE,,
FALSE,FALSE,FALSE,FALSE,,18,* ARE,,
FALSE,FALSE,FALSE,FALSE,,19,* DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT HOLDER OR CONTRIBUTORS BE LIABLE,,
FALSE,FALSE,FALSE,FALSE,,20,"* FOR ANY DIRECT, INDIRECT, INCIDENTAL, SPECIAL, EXEMPLARY, OR CONSEQUENTIAL",,
FALSE,FALSE,FALSE,FALSE,,21,"* DAMAGES (INCLUDING, BUT NOT LIMITED TO, PROCUREMENT OF SUBSTITUTE GOODS OR",,
FALSE,FALSE,FALSE,FALSE,,22,"* SERVICES; LOSS OF USE, DATA, OR PROFITS; OR BUSINESS INTERRUPTION) HOWEVER",,
